movie_id,original_title,poster_path,overview,release_date,vote_average,genres,directors,main_actors,watch_providers,scraped_at
6,Judgment Night,/3rvvpS9YPM5HB2f4HYiNiJVtdam.jpg,"Four young friends, while taking a shortcut en route to a local boxing match, witness a brutal murder which leaves them running for their lives.",1993-10-15,6.5,"Action, Crime, Thriller",Stephen Hopkins,"Emilio Estevez, Cuba Gooding Jr., Denis Leary","{""watch_providers"": [{""id"": 9, ""name"": ""Amazon Prime Video"", ""logo"": ""https://image.tmdb.org/t/p/original/pvske1MyAoymrs5bguRfVqYiM9a.jpg"", ""subscribe_url"": ""https://www.primevideo.com/""}]}",2025-05-22 20:15:46
11,Star Wars,/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,1977-05-25,8.205,"Adventure, Action, Science Fiction",George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher","{""watch_providers"": [{""id"": 337, ""name"": ""Disney Plus"", ""logo"": ""https://image.tmdb.org/t/p/original/97yvRBw1GzX7fXprcF80er19ot.jpg"", ""subscribe_url"": ""https://www.hotstar.com/id""}]}",2025-05-22 19:36:03
12,Finding Nemo,/eHuGQ10FUzK1mdOY69wF5pGgEf5.jpg,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",2003-05-30,7.816,"Animation, Family",Andrew Stanton,"Albert Brooks, Ellen DeGeneres, Alexander Gould","{""watch_providers"": [{""id"": 337, ""name"": ""Disney Plus"", ""logo"": ""https://image.tmdb.org/t/p/original/97yvRBw1GzX7fXprcF80er19ot.jpg"", ""subscribe_url"": ""https://www.hotstar.com/id""}]}",2025-05-22 20:23:38
13,Forrest Gump,/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",1994-06-23,8.468,"Comedy, Drama, Romance",Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise","{""watch_providers"": [{""id"": 9, ""name"": ""Amazon Prime Video"", ""logo"": ""https://image.tmdb.org/t/p/original/pvske1MyAoymrs5bguRfVqYiM9a.jpg"", ""subscribe_url"": ""https://www.primevideo.com/""}]}",2025-05-22 19:49:14
17,The Dark,/h6gCVAzjFLhzkffv2VZO1RgVCBt.jpg,"In an attempt to pull her family together, Adèlle travels with her young daughter Sarah to Wales to visit her father. The morning after they arrive, Sarah mysteriously vanishes in the ocean. Not long after, a little girl bearing a striking resemblance to their missing daughter reveals that she has retuned from the dead  — and that Sarah has been taken to the Welsh underworld.",2005-09-28,5.7,"Horror, Thriller, Mystery",John Fawcett,"Maria Bello, Sean Bean, Abigail Stone","{""watch_providers"": [{""id"": 9, ""name"": ""Amazon Prime Video"", ""logo"": ""https://image.tmdb.org/t/p/original/pvske1MyAoymrs5bguRfVqYiM9a.jpg"", ""subscribe_url"": ""https://www.primevideo.com/""}]}",2025-05-22 21:15:09
22,Pirates of the Caribbean: The Curse of the Black Pearl,/z8onk7LV9Mmw6zKz4hT6pzzvmvl.jpg,"After Port Royal is attacked and pillaged by a mysterious pirate crew, capturing the governor's daughter Elizabeth Swann in the process, William Turner asks free-willing pirate Jack Sparrow to help him locate the crew's ship—The Black Pearl—so that he can rescue the woman he loves.",2003-07-09,7.811,"Adventure, Fantasy, Action",Gore Verbinski,"Johnny Depp, Geoffrey Rush, Orlando Bloom","{""watch_providers"": [{""id"": 337, ""name"": ""Disney Plus"", ""logo"": ""https://image.tmdb.org/t/p/original/97yvRBw1GzX7fXprcF80er19ot.jpg"", ""subscribe_url"": ""https://www.hotstar.com/id""}]}",2025-05-22 20:23:29
35,The Simpsons Movie,/gzb6P78zeFTnv9eoFYnaJ2YrZ5q.jpg,"After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",2007-07-25,7.011,"Animation, Comedy, Family",David Silverman,"Dan Castellaneta, Julie Kavner, Nancy Cartwright","{""watch_providers"": [{""id"": 337, ""name"": ""Disney Plus"", ""logo"": ""https://image.tmdb.org/t/p/original/97yvRBw1GzX7fXprcF80er19ot.jpg"", ""subscribe_url"": ""https://www.hotstar.com/id""}]}",2025-05-22 21:41:17
58,Pirates of the Caribbean: Dead Man's Chest,/lAhcKRt0ggTFkeFL95jrGQYaRXs.jpg,"Captain Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.",2006-07-06,7.367,"Adventure, Fantasy, Action",Gore Verbinski,"Johnny Depp, Orlando Bloom, Keira Knightley","{""watch_providers"": [{""id"": 337, ""name"": ""Disney Plus"", ""logo"": ""https://image.tmdb.org/t/p/original/97yvRBw1GzX7fXprcF80er19ot.jpg"", ""subscribe_url"": ""https://www.hotstar.com/id""}]}",2025-05-22 21:20:20
77,Memento,/fKTPH2WvH8nHTXeBYBVhawtRqtR.jpg,"Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why.",2000-10-11,8.178,"Mystery, Thriller",Christopher Nolan,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano","{""watch_providers"": [{""id"": 9, ""name"": ""Amazon Prime Video"", ""logo"": ""https://image.tmdb.org/t/p/original/pvske1MyAoymrs5bguRfVqYiM9a.jpg"", ""subscribe_url"": ""https://www.primevideo.com/""}]}",2025-05-22 19:36:21
85,Raiders of the Lost Ark,/ceG9VzoRAVGwivFU403Wc3AHRys.jpg,"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",1981-06-12,7.923,"Adventure, Action",Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman","{""watch_providers"": [{""id"": 337, ""name"": ""Disney Plus"", ""logo"": ""https://image.tmdb.org/t/p/original/97yvRBw1GzX7fXprcF80er19ot.jpg"", ""subscribe_url"": ""https://www.hotstar.com/id""}]}",2025-05-22 20:05:09
